price,delivery_time,number_of_transit_nodes,label
630013.0,35.0,3.0,1
784253.0,22.0,4.0,0
646959.0,27.0,0.0,1
696361.0,23.0,3.0,0
621623.0,46.0,3.0,1
683356.0,28.0,1.0,1
605414.0,1.0,2.0,0
924303.0,30.0,-1.0,1
597753.0,22.0,2.0,0
574151.0,34.0,4.0,1
780594.0,49.0,5.0,1
691852.0,46.0,3.0,1
682348.0,28.0,1.0,1
617638.0,18.0,1.0,0
707720.0,48.0,8.0,1
760600.0,4.0,4.0,0
564959.0,22.0,3.0,0
625062.0,37.0,6.0,1
619671.0,15.0,2.0,0
706968.0,18.0,7.0,0
847415.0,40.0,3.0,1
627061.0,37.0,4.0,1
610941.0,17.0,7.0,0
771106.0,12.0,4.0,0
791129.0,42.0,1.0,1
680842.0,35.0,-0.0,1
676368.0,28.0,2.0,1
634078.0,40.0,3.0,1
674593.0,27.0,2.0,1
734997.0,29.0,5.0,1
576861.0,27.0,6.0,1
760656.0,25.0,5.0,0
591849.0,21.0,5.0,0
556606.0,26.0,5.0,1
631651.0,8.0,3.0,0
634331.0,5.0,4.0,0
628657.0,10.0,2.0,0
633827.0,6.0,3.0,0
697958.0,17.0,2.0,0
719176.0,34.0,2.0,1
719670.0,33.0,-0.0,1
617815.0,29.0,5.0,1
529761.0,23.0,2.0,0
707797.0,39.0,4.0,1
615918.0,9.0,3.0,0
873401.0,31.0,4.0,1
639313.0,19.0,4.0,0
750794.0,41.0,3.0,1
734512.0,21.0,3.0,0
567819.0,28.0,2.0,1
602692.0,15.0,4.0,0
669694.0,23.0,5.0,0
494887.0,35.0,3.0,1
797822.0,13.0,0.0,0
775709.0,7.0,3.0,0
687983.0,21.0,3.0,0
615632.0,1.0,2.0,0
828315.0,27.0,8.0,1
447095.0,9.0,4.0,0
740755.0,28.0,3.0,1
751189.0,24.0,2.0,0
622595.0,23.0,2.0,0
706744.0,29.0,0.0,1
518400.0,26.0,4.0,1
549005.0,31.0,3.0,1
727222.0,18.0,-2.0,0
851163.0,27.0,4.0,1
748476.0,18.0,2.0,0
816266.0,27.0,8.0,1
706938.0,50.0,5.0,1
534199.0,21.0,2.0,0
744799.0,32.0,1.0,1
604852.0,31.0,5.0,1
743936.0,23.0,4.0,0
625136.0,30.0,3.0,1
704049.0,13.0,5.0,0
705391.0,19.0,-1.0,0
640262.0,17.0,0.0,0
464693.0,16.0,1.0,0
506050.0,30.0,3.0,1
716518.0,17.0,5.0,0
832313.0,41.0,5.0,1
645674.0,17.0,3.0,0
483422.0,23.0,2.0,0
676972.0,16.0,-0.0,0
770506.0,34.0,2.0,1
810568.0,32.0,3.0,1
617962.0,12.0,1.0,0
573775.0,34.0,2.0,1
709587.0,33.0,3.0,1
668579.0,22.0,6.0,0
574841.0,21.0,1.0,0
748009.0,19.0,5.0,0
613000.0,23.0,6.0,0
732922.0,16.0,4.0,0
876853.0,17.0,-1.0,0
621869.0,17.0,1.0,0
574678.0,34.0,1.0,1
667512.0,31.0,1.0,1
640423.0,46.0,-1.0,1
581580.0,32.0,2.0,1
725709.0,9.0,2.0,0
689760.0,22.0,3.0,0
568512.0,16.0,0.0,0
598254.0,7.0,3.0,0
564124.0,28.0,2.0,1
610905.0,15.0,2.0,0
