price,delivery_time,number_of_transit_nodes,label
789336.0,28.0,0.0,1
673335.0,17.0,4.0,0
867612.0,14.0,3.0,0
543544.0,34.0,6.0,1
570424.0,28.0,1.0,1
439756.0,22.0,5.0,0
595991.0,16.0,1.0,0
626036.0,21.0,4.0,0
721945.0,13.0,1.0,0
662725.0,31.0,3.0,1
665404.0,20.0,-1.0,0
700965.0,30.0,2.0,1
650142.0,23.0,4.0,0
502366.0,19.0,-1.0,0
582426.0,21.0,5.0,0
487369.0,19.0,1.0,0
507037.0,13.0,3.0,0
586760.0,31.0,2.0,1
563506.0,19.0,2.0,0
757145.0,13.0,2.0,0
685051.0,27.0,2.0,1
618046.0,27.0,3.0,1
623206.0,-1.0,1.0,0
700500.0,31.0,5.0,1
823132.0,22.0,5.0,0
612343.0,24.0,-1.0,0
660970.0,29.0,-0.0,1
631565.0,33.0,5.0,1
668487.0,18.0,5.0,0
494756.0,24.0,5.0,0
690325.0,12.0,0.0,0
668399.0,32.0,4.0,1
538309.0,20.0,4.0,0
753540.0,22.0,7.0,0
807696.0,22.0,4.0,0
760679.0,22.0,3.0,0
625936.0,31.0,9.0,1
592964.0,29.0,5.0,1
720987.0,38.0,2.0,1
703242.0,23.0,3.0,0
536218.0,39.0,3.0,1
619058.0,18.0,2.0,0
797375.0,32.0,4.0,1
661808.0,28.0,2.0,1
610802.0,10.0,1.0,0
743778.0,37.0,4.0,1
666765.0,18.0,3.0,0
733884.0,20.0,4.0,0
564124.0,35.0,0.0,1
784757.0,37.0,0.0,1
634630.0,23.0,1.0,0
771970.0,17.0,-0.0,0
440085.0,17.0,2.0,0
474092.0,23.0,5.0,0
624342.0,37.0,2.0,1
543611.0,42.0,1.0,1
674326.0,4.0,0.0,0
631249.0,18.0,2.0,0
419393.0,32.0,-2.0,1
654917.0,53.0,1.0,1
628582.0,21.0,3.0,0
767799.0,29.0,3.0,1
691829.0,37.0,3.0,1
713227.0,15.0,4.0,0
650235.0,44.0,1.0,1
682112.0,20.0,-2.0,0
759916.0,26.0,2.0,1
657055.0,14.0,-1.0,0
667956.0,47.0,5.0,1
819141.0,29.0,3.0,1
731961.0,18.0,5.0,0
678828.0,30.0,1.0,1
685296.0,17.0,4.0,0
610819.0,14.0,7.0,0
612555.0,40.0,1.0,1
690672.0,15.0,3.0,0
673437.0,33.0,4.0,1
703827.0,37.0,2.0,1
710999.0,26.0,3.0,1
699565.0,23.0,4.0,0
590347.0,19.0,5.0,0
724801.0,7.0,1.0,0
738473.0,31.0,1.0,1
676019.0,34.0,0.0,1
601665.0,34.0,2.0,1
859192.0,10.0,2.0,0
742634.0,30.0,3.0,1
616786.0,11.0,1.0,0
791533.0,24.0,2.0,0
640650.0,32.0,2.0,1
787558.0,19.0,6.0,0
554354.0,18.0,4.0,0
685986.0,15.0,4.0,0
622607.0,22.0,3.0,0
688921.0,34.0,1.0,1
745196.0,20.0,3.0,0
597774.0,42.0,1.0,1
800895.0,20.0,4.0,0
599684.0,10.0,1.0,0
784444.0,11.0,4.0,0
786169.0,33.0,3.0,1
611804.0,19.0,2.0,0
747103.0,36.0,1.0,1
583800.0,10.0,6.0,0
811545.0,28.0,2.0,1
641987.0,17.0,6.0,0
703405.0,38.0,1.0,1
520106.0,35.0,3.0,1
743894.0,18.0,6.0,0
624306.0,43.0,6.0,1
704050.0,22.0,2.0,0
576654.0,19.0,-0.0,0
549969.0,16.0,2.0,0
611860.0,23.0,5.0,0
698230.0,17.0,3.0,0
645739.0,23.0,7.0,0
725148.0,22.0,3.0,0
649523.0,36.0,4.0,1
635957.0,26.0,2.0,1
625029.0,11.0,2.0,0
721827.0,5.0,3.0,0
796430.0,27.0,2.0,1
719444.0,26.0,-1.0,1
499433.0,26.0,3.0,1
456826.0,8.0,7.0,0
624284.0,23.0,4.0,0
795081.0,31.0,3.0,1
754319.0,17.0,-1.0,0
881127.0,26.0,2.0,1
533127.0,17.0,-2.0,0
752126.0,30.0,5.0,1
636973.0,23.0,3.0,0
559177.0,11.0,4.0,0
769704.0,31.0,1.0,1
654764.0,17.0,3.0,0
788680.0,27.0,2.0,1
640679.0,16.0,6.0,0
687866.0,6.0,2.0,0
520064.0,14.0,1.0,0
676765.0,24.0,3.0,0
827219.0,5.0,7.0,0
706668.0,4.0,5.0,0
595635.0,32.0,2.0,1
746285.0,20.0,3.0,0
909808.0,24.0,-1.0,0
645618.0,28.0,2.0,1
688107.0,33.0,1.0,1
486764.0,30.0,1.0,1
674272.0,42.0,3.0,1
620801.0,28.0,5.0,1
732642.0,17.0,0.0,0
474235.0,37.0,1.0,1
683713.0,29.0,3.0,1
713063.0,34.0,7.0,1
504339.0,32.0,3.0,1
575094.0,34.0,-1.0,1
757239.0,37.0,5.0,1
659829.0,27.0,3.0,1
616697.0,21.0,2.0,0
723508.0,29.0,4.0,1
674868.0,22.0,3.0,0
639157.0,43.0,2.0,1
601415.0,25.0,-1.0,0
